time,370,380,390,400
0,1.00342,,,
0,,,,0.99845
0,1.00093,,,
1,,,1.00341,
5.1,,1.00093,,
186.1,,,,0.91394
235.6,,0.96483,,
235.6,0.97476,,,
247.8,,,0.90274,
280.5,,,,0.79967
305.4,,0.90893,,
309,,,,0.67425
350.4,,,0.77605,
387,,,,0.54012
469.4,,,0.57113,
489.6,,,,0.38984
585.2,0.84425,,,
634.2,,0.65674,,
649.6,,,,0.17497
650.1,,,0.42206,
760.6,,,,0.09794
810.4,,,0.30279,
881.3,0.71127,,,
950.7,,0.43559,,
966.6,,,0.2034,
974.5,,,,0.05315
1210.3,0.57207,,,
1254.4,,,,0.02076
1254.9,,0.26164,,
1275.1,,,0.09773,
1510.5,0.44778,,,
1567.2,,,,0.00946
1567.5,,0.16342,,
1579.6,,,0.04918,
1814.8,0.3384,,,
1851.2,,,,0.00562
1859.6,,0.10122,,
1875.9,,,0.02547,
2131.6,0.25383,,,
2180.6,,0.05763,,
2201.1,,,0.01417,
2423.7,0.18915,,,
2464.5,,0.02896,,
2485.1,,,0.01033,
2728.2,0.1406,,,
2760.9,,0.02139,,
2806.1,,,0.00896,
3032.7,0.09826,,,
3077.8,,0.01381,,
3320.8,0.07456,,,
3361.8,,0.01121,,
3633.6,0.05332,,,
3715.8,,0.01107,,
3934,0.03458,,,
4230.3,0.03073,,,
4543.2,0.01943,,,
4860.1,0.01806,,,
