time,330,340,350,360,370
15276.1,0.45544,0.27347,0.08312,0.01405,0.00438
15353.2,0.45331,0.27135,0.08231,0.01386,0.00434
15393.9,0.4522,0.27024,0.08189,0.01377,0.00433
16276,0.42873,0.24737,0.07283,0.01175,0.00398
16565.3,0.4212,0.24082,0.06987,0.01108,0.00387
16951.2,0.4112,0.23289,0.06594,0.01015,0.00373
17379.3,0.40014,0.22461,0.06179,0.00903,0.00358
17487.5,0.39737,0.22252,0.06079,0.00872,0.00354
18024.8,0.38419,0.21192,0.05618,0.00713,0.00335
18038.9,0.38386,0.21165,0.05606,0.00709,0.00335
18921.7,0.36399,0.19517,0.04962,0.00492,0.00306
19324.5,0.35528,0.18849,0.04708,0.00425,0.00293
19507.4,0.35138,0.1856,0.04602,0.00401,0.00287
19954.5,0.34194,0.17875,0.04371,0.00351,0.00273
20430.2,0.332,0.17155,0.04184,0.00311,0.00259
20684.4,0.3267,0.16758,0.04106,0.00293,0.00251
21488.7,0.30994,0.15545,0.03871,0.00245,0.00228
21493.7,0.30984,0.15538,0.03869,0.00245,0.00228
22192.6,0.29562,0.14699,0.03565,0.0021,0.00207
22779.9,0.28489,0.14045,0.03275,0.00185,0.00191
23033.4,0.28071,0.13762,0.03152,0.00174,0.00184
23096.9,0.27965,0.1369,0.03122,0.00171,0.00182
23838,0.26719,0.12862,0.02793,0.00141,0.00162
24072,0.2633,0.12607,0.02695,0.00131,0.00155
24239.3,0.26056,0.12428,0.02627,0.00124,0.00151
24878.4,0.25067,0.11773,0.02372,0.00097,0.00133
25209.6,0.24589,0.1145,0.02244,0.00083,0.00125
25624.5,0.2401,0.11059,0.02101,0.00066,0.00113
26684.7,0.22539,0.10129,0.01871,0.00021,0.00085
26762.5,0.22429,0.10063,0.0186,0.00018,0.00083
26817.2,0.22351,0.10016,0.01853,0.00015,0.00082
27954.9,0.20734,0.09076,0.0174,-0.00033,0.00052
28296.2,0.20343,0.08817,0.01715,-0.00048,0.00043
29043.3,0.19614,0.0832,0.01667,-0.0008,0.00024
29533.3,0.19168,0.08069,0.01639,-0.00101,0.00011
29954,0.18791,0.08068,0.01615,-0.00119,6e-06
29975.3,0.18772,0.08082,0.01614,-0.0012,6.64039e-07
29975.9,0.18771,0.08083,0.01614,-0.0012,4.84774e-07
30008.1,0.18743,0.08102,0.01612,-0.00121,-8e-06
30074.2,0.18684,0.08124,0.01608,-0.00124,-2e-05
