fcmech reaction index
=============================================================================================
w_idx  Equation                                                      YAML label
491  NH + HCN => CH2(S) + N2                                       # Reaction 243
492  CN + O => C + NO                                              # Reaction 244
493  CO + N => C + NO                                              # Reaction 245
494  HCN + O => CH + NO                                            # Reaction 246
495  H + NCO => CH + NO                                            # Reaction 247
496  N + HCO => CH + NO                                            # Reaction 248
497  H + HNCO => CH2 + NO                                          # Reaction 249
498  OH + HCN => CH2 + NO                                          # Reaction 250
499  H + HCNO => CH2 + NO                                          # Reaction 251
500  H + HNCO => CH2(S) + NO                                       # Reaction 252
501  OH + HCN => CH2(S) + NO                                       # Reaction 253
502  H + HCNO => CH2(S) + NO                                       # Reaction 254
503  HCN + H2O => CH3 + NO                                         # Reaction 255
504  H2CN + OH => CH3 + NO                                         # Reaction 256
505  CO + H + N2 => HCNN + O                                       # Reaction 257
506  HCN + NO => HCNN + O                                          # Reaction 258
507  O + HCO + N2 => HCNN + O2                                     # Reaction 259
508  H + HCO + N2 => HCNN + OH                                     # Reaction 260
509  CH2 + N2 => HCNN + H                                          # Reaction 261
510  NH + CO2 => HNCO + O                                          # Reaction 262
511  HNO + CO => HNCO + O                                          # Reaction 263
512  NCO + OH => HNCO + O                                          # Reaction 264
513  NH2 + CO => HNCO + H                                          # Reaction 265
514  H2 + NCO => HNCO + H                                          # Reaction 266
515  NCO + H2O => HNCO + OH                                        # Reaction 267
516  NH2 + CO2 => HNCO + OH                                        # Reaction 268
517  H + HNCO => HCNO + H                                          # Reaction 270
518  OH + HCN => HCNO + H                                          # Reaction 271
519  NH2 + CO => HCNO + H                                          # Reaction 272
520  H + HNCO => HOCN + H                                          # Reaction 273
521  HCNO + CO => HCCO + NO                                        # Reaction 274
522  H2CN + H => CH3 + N                                           # Reaction 275
523  HCN + H2 => CH3 + N                                           # Reaction 276
524  NH2 + H2 => NH3 + H                                           # Reaction 277
525  NH2 + H2O => NH3 + OH                                         # Reaction 278
526  NH2 + OH => NH3 + O                                           # Reaction 279
527  HNO + CO => NH + CO2                                          # Reaction 280
528  NCO + NO => CN + NO2                                          # Reaction 281
529  N2O + CO2 => NCO + NO2                                        # Reaction 282
530  NO + CO => N + CO2                                            # Reaction 283
531  H + CH2CHO => O + C2H4                                        # Reaction 285
532  H + CH3CHO => O + C2H5                                        # Reaction 286
533  O2 + H2O => OH + HO2                                          # Reaction 287
534  O + CH2O => CH2 + O2                                          # Reaction 291
535  O + CH2CHO => C2H3 + O2                                       # Reaction 294
536  HO2 + C2H2 => C2H3 + O2                                       # Reaction 295
537  OH + CH2CHO => O + CH3CHO                                     # Reaction 296
538  CH2CHO + H2 => H + CH3CHO                                     # Reaction 299
539  CH3 + HCO => H + CH2CHO                                       # Reaction 308
540  CH2CO + H2 => H + CH2CHO                                      # Reaction 309
541  H2O + CH2CO => OH + CH2CHO                                    # Reaction 310
542  HCO + CH2OH => OH + CH2CHO                                    # Reaction 311
543  OH + C3H7 => O + C3H8                                         # Reaction 313
544  C3H7 + H2 => H + C3H8                                         # Reaction 314
545  C3H7 + H2O => OH + C3H8                                       # Reaction 315
546  HO2 + C3H8 => C3H7 + H2O2                                     # Reaction 316
547  C3H7 + CH4 => CH3 + C3H8                                      # Reaction 317
548  C2H5 + CH2O => O + C3H7                                       # Reaction 319
549  CH3 + C2H5 => H + C3H7                                        # Reaction 321
550  C2H5 + CH2OH => OH + C3H7                                     # Reaction 322
551  O2 + C3H8 => HO2 + C3H7                                       # Reaction 323
552  2 C2H5 => CH3 + C3H7                                          # Reaction 325
553  2 O <=> O2                                                    # Reaction 1
554  O + H <=> OH                                                  # Reaction 2
555  H + O2 <=> HO2                                                # Reaction 33
556  2 H <=> H2                                                    # Reaction 39
557  H + OH <=> H2O                                                # Reaction 43
558  HCO <=> H + CO                                                # Reaction 167
559  NO + O <=> NO2                                                # Reaction 187
560  NNH <=> N2 + H                                                # Reaction 205
561  H + NO <=> HNO                                                # Reaction 212
562  NCO <=> N + CO                                                # Reaction 227
563  HCN <=> H + CN                                                # Reaction 230
564  HNCO <=> NH + CO                                              # Reaction 269
565  O2 => 2 O                                                     # Reaction 1
566  OH => O + H                                                   # Reaction 2
567  HO2 => H + O2                                                 # Reaction 33
568  H2 => 2 H                                                     # Reaction 39
569  H2O => H + OH                                                 # Reaction 43
570  H + CO => HCO                                                 # Reaction 167
571  NO2 => NO + O                                                 # Reaction 187
572  N2 + H => NNH                                                 # Reaction 205
573  HNO => H + NO                                                 # Reaction 212
574  N + CO => NCO                                                 # Reaction 227
575  H + CN => HCN                                                 # Reaction 230
576  NH + CO => HNCO                                               # Reaction 269
577  O + CO <=> CO2                                                # Reaction 12
578  H + CH2 <=> CH3                                               # Reaction 50
579  H + CH3 <=> CH4                                               # Reaction 52
580  H + HCO <=> CH2O                                              # Reaction 54
581  H + CH2O <=> CH2OH                                            # Reaction 56
582  H + CH2O <=> CH3O                                             # Reaction 57
583  H + CH2OH <=> CH3OH                                           # Reaction 59
584  H + CH3O <=> CH3OH                                            # Reaction 63
585  H + C2H <=> C2H2                                              # Reaction 70
586  H + C2H2 <=> C2H3                                             # Reaction 71
587  H + C2H3 <=> C2H4                                             # Reaction 72
588  H + C2H4 <=> C2H5                                             # Reaction 74
589  H + C2H5 <=> C2H6                                             # Reaction 76
590  H2 + CO <=> CH2O                                              # Reaction 83
591  2 OH <=> H2O2                                                 # Reaction 85
592  OH + CH3 <=> CH3OH                                            # Reaction 95
593  CH + CO <=> HCCO                                              # Reaction 131
594  CH2 + CO <=> CH2CO                                            # Reaction 140
595  CH2(S) + H2O <=> CH3OH                                        # Reaction 147
596  2 CH3 <=> C2H6                                                # Reaction 158
597  C2H4 <=> H2 + C2H2                                            # Reaction 174
598  N2O <=> N2 + O                                                # Reaction 185
599  H + HCN <=> H2CN                                              # Reaction 237
600  CH + N2 <=> HCNN                                              # Reaction 241
601  CH + H2 <=> CH3                                               # Reaction 289
602  H + CH2CO <=> CH2CHO                                          # Reaction 304
603  CH3 + C2H5 <=> C3H8                                           # Reaction 312
604  CH3 + C2H4 <=> C3H7                                           # Reaction 318
605  H + C3H7 <=> C3H8                                             # Reaction 320
606  CO2 => O + CO                                                 # Reaction 12
607  CH3 => H + CH2                                                # Reaction 50
608  CH4 => H + CH3                                                # Reaction 52
609  CH2O => H + HCO                                               # Reaction 54
610  CH2OH => H + CH2O                                             # Reaction 56
611  CH3O => H + CH2O                                              # Reaction 57
612  CH3OH => H + CH2OH                                            # Reaction 59
613  CH3OH => H + CH3O                                             # Reaction 63
614  C2H2 => H + C2H                                               # Reaction 70
615  C2H3 => H + C2H2                                              # Reaction 71
616  C2H4 => H + C2H3                                              # Reaction 72
617  C2H5 => H + C2H4                                              # Reaction 74
618  C2H6 => H + C2H5                                              # Reaction 76
619  CH2O => H2 + CO                                               # Reaction 83
620  H2O2 => 2 OH                                                  # Reaction 85
621  CH3OH => OH + CH3                                             # Reaction 95
622  HCCO => CH + CO                                               # Reaction 131
623  CH2CO => CH2 + CO                                             # Reaction 140
624  CH3OH => CH2(S) + H2O                                         # Reaction 147
625  C2H6 => 2 CH3                                                 # Reaction 158
626  H2 + C2H2 => C2H4                                             # Reaction 174
627  N2 + O => N2O                                                 # Reaction 185
628  H2CN => H + HCN                                               # Reaction 237
629  HCNN => CH + N2                                               # Reaction 241
630  CH3 => CH + H2                                                # Reaction 289
631  CH2CHO => H + CH2CO                                           # Reaction 304
632  C3H8 => CH3 + C2H5                                            # Reaction 312
633  C3H7 => CH3 + C2H4                                            # Reaction 318
634  C3H8 => H + C3H7                                              # Reaction 320
